1 Escola De Condução Automovel Club De Portugal,Unnamed: 0,357,336,"80,06%",404,399,"69,42%",761,735,"74,29%"
2 Escola De Condução Acp,nan,207,206,"77,67%",272,271,"71,59%",479,477,"74,21%"
5 Escola De Condução «A Popular»,nan,57,57,"78,95%",54,54,"68,52%",111,111,"73,87%"
6 Escola De Condução Automoveis Monumental,nan,323,318,"79,87%",354,353,"65,44%",677,671,"72,28%"
7 Escola De Condução A Desportiva (Boavista),nan,114,104,"77,88%",98,95,"65,26%",212,199,"71,86%"
8 Escola De Condução Vitória,nan,315,299,"49,50%",208,200,"55,00%",523,499,"51,70%"
9 Escola De Condução Enal,nan,6,6,"50,00%",7,7,"57,14%",13,13,"53,85%"
10 Escola De Condução Lusitânia De Automobilsmo,nan,164,161,"86,96%",174,173,"61,85%",338,334,"73,95%"
11 Escola De Condução Rodaqui,nan,231,227,"58,15%",185,183,"76,50%",416,410,"66,34%"
12 Escola De Condução Bastos,nan,129,127,"79,53%",136,136,"72,06%",265,263,"75,67%"
13 Escola De Condução Morarte,nan,129,119,"78,15%",189,188,"46,81%",318,307,"58,96%"
14 Escola De Condução Carsil,nan,215,214,"85,05%",286,282,"78,72%",501,496,"81,45%"
15 Escola De Condução Estrela Torriense,nan,181,179,"64,80%",156,155,"77,42%",337,334,"70,66%"
16 Escola De Condução Moderna,nan,797,758,"67,68%",1294,1283,"50,35%",2091,2041,"56,79%"
17 Escola De Condução Hugo Vieira (Porto),nan,488,476,"78,15%",646,630,"72,38%",1134,1106,"74,86%"
19 Escola De Condução E P Campos,nan,203,196,"84,18%",199,197,"69,04%",402,393,"76,59%"
20 Escola De Condução Ouriense,nan,187,185,"84,32%",251,248,"78,23%",438,433,"80,83%"
21 Escola De Condução São Cristóvão,nan,336,320,"78,75%",358,355,"77,18%",694,675,"77,93%"
22 Escola De Condução M M Ouressa,nan,204,189,"72,49%",208,197,"76,14%",412,386,"74,35%"
23 Escola De Condução Ribatejana,nan,104,100,"72,00%",54,53,"84,91%",158,153,"76,47%"
24 Escola De Condução Dokas,nan,733,714,"74,65%",944,935,"67,91%",1677,1649,"70,83%"
25 Escola De Condução M Silva,nan,161,159,"62,26%",133,133,"75,94%",294,292,"68,49%"
27 Escola De Condução Alkântara,nan,130,125,"68,00%",113,112,"60,71%",243,237,"64,56%"
28 Escola De Condução De Benfica,nan,242,233,"63,95%",161,160,"53,13%",403,393,"59,54%"
29 Escola De Condução Auto Águia,nan,220,209,"66,03%",231,221,"68,33%",451,430,"67,21%"
30 Escola De Condução Técnica Automóvel Silvino,nan,63,55,"65,45%",75,68,"47,06%",138,123,"55,28%"
31 Escola De Condução A Portuguesa,nan,231,221,"81,90%",241,239,"82,43%",472,460,"82,17%"
32 Escola De Condução Idal,nan,455,442,"80,54%",485,478,"77,62%",940,920,"79,02%"
33 Escola De Condução A Império,nan,4,4,"25,00%",2,2,"100,00%",6,6,"50,00%"
34 Escola De Condução Destaque,nan,153,152,"58,55%",136,134,"79,10%",289,286,"68,18%"
35 Escola De Condução Neuropa,nan,354,342,"85,96%",352,347,"83,29%",706,689,"84,62%"
36 Escola De Condução Pincor,nan,130,124,"69,35%",141,139,"58,27%",271,263,"63,50%"
38 Escola De Condução Campolide,nan,170,162,"68,52%",196,193,"59,59%",366,355,"63,66%"
39 Escola De Condução Torrejana,nan,120,115,"70,43%",132,128,"88,28%",252,243,"79,84%"
40 Escola De Condução Automóvel Lisbonense,nan,536,506,"77,27%",438,427,"80,56%",974,933,"78,78%"
41 Escola De Condução Telheiras,nan,198,188,"69,15%",203,202,"65,35%",401,390,"67,18%"
42 Escola De Condução Carvalhido,nan,172,165,"75,76%",208,205,"57,56%",380,370,"65,68%"
44 Escola De Condução Saldanha,nan,595,563,"69,98%",738,726,"62,12%",1333,1289,"65,55%"
45 Escola De Condução Gonçalves E Delgado,nan,152,139,"74,82%",131,126,"84,13%",283,265,"79,25%"
47 Escola De Condução Moderna De Tomar,nan,267,250,"70,40%",266,262,"75,57%",533,512,"73,05%"
48 Escola De Condução  Sintra,nan,487,473,"64,69%",495,487,"76,39%",982,960,"70,63%"
49 Escola De Condução Boavista,nan,436,433,"78,75%",592,585,"54,53%",1028,1018,"64,83%"
52 Escola De Condução Invicta,nan,295,277,"70,04%",379,375,"56,53%",674,652,"62,27%"
53 Escola De Condução S Mamede,nan,67,65,"86,15%",55,54,"79,63%",122,119,"83,19%"
55 Escola De Condução Radical,nan,852,827,"75,09%",1010,995,"79,10%",1862,1822,"77,28%"
56 Escola De Condução Vila Franca,nan,572,544,"60,85%",535,529,"71,27%",1107,1073,"65,98%"
57 Escola De Condução França,nan,322,301,"75,75%",357,349,"68,48%",679,650,"71,85%"
58 Escola De Condução Portuense,nan,147,141,"73,76%",220,216,"50,46%",367,357,"59,66%"
