Unnamed: 0,Unnamed: 1,Provas Teóricas,Provas Práticas,Total,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
N.o EC,Escola de Condução,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação,"ProvasMarcadas","ProvasRealizadas",% Aprovação
1,ESCOLA DE CONDUÇÃO AUTOMOVEL CLUB DE PORTUGAL,384,327,"79,82%",363,328,"65,85%",747,655,"72,82%"
2,ESCOLA DE CONDUÇÃO ACP,214,201,"76,12%",177,170,"74,12%",391,371,"75,20%"
5,ESCOLA DE CONDUÇÃO «A POPULAR»,87,80,"68,75%",72,64,"64,06%",159,144,"66,67%"
6,ESCOLA DE CONDUÇÃO AUTOMOVEIS MONUMENTAL,0,0,nan,18,12,"16,67%",18,12,"16,67%"
8,ESCOLA DE CONDUÇÃO VITÓRIA,349,302,"53,97%",244,217,"62,67%",593,519,"57,61%"
10,ESCOLA DE CONDUÇÃO LUSITÂNIA DE AUTOMOBILSMO,137,129,"81,40%",128,115,"52,17%",265,244,"67,62%"
11,ESCOLA DE CONDUÇÃO RODAQUI,233,215,"54,88%",151,145,"82,07%",384,360,"65,83%"
12,ESCOLA DE CONDUÇÃO BASTOS,116,110,"78,18%",133,125,"48,00%",249,235,"62,13%"
13,ESCOLA DE CONDUÇÃO MORARTE,156,140,"83,57%",223,201,"54,73%",379,341,"66,57%"
14,ESCOLA DE CONDUÇÃO CARSIL,217,199,"78,89%",267,237,"76,37%",484,436,"77,52%"
15,ESCOLA DE CONDUÇÃO ESTRELA TORRIENSE,356,335,"68,66%",255,236,"83,90%",611,571,"74,96%"
16,ESCOLA DE CONDUÇÃO MODERNA,560,506,"73,12%",620,584,"55,99%",1 180,1 090,"63,94%"
17,ESCOLA DE CONDUÇÃO HUGO VIEIRA,477,412,"80,83%",467,436,"65,60%",944,848,"73,00%"
19,ESCOLA DE CONDUÇÃO E P CAMPOS,216,199,"73,87%",221,193,"63,21%",437,392,"68,62%"
20,ESCOLA DE CONDUÇÃO OURIENSE,262,224,"75,89%",319,300,"69,67%",581,524,"72,33%"
21,ESCOLA DE CONDUÇÃO SÃO CRISTÓVÃO,332,297,"77,44%",332,292,"71,23%",664,589,"74,36%"
22,ESCOLA DE CONDUÇÃO M M OURESSA,315,273,"65,93%",279,249,"69,88%",594,522,"67,82%"
24,ESCOLA DE CONDUÇÃO DOKAS,501,471,"70,49%",590,547,"52,29%",1 091,1 018,"60,71%"
25,ESCOLA DE CONDUÇÃO M SILVA,154,147,"53,06%",138,128,"65,63%",292,275,"58,91%"
28,ESCOLA DE CONDUÇÃO DE BENFICA,244,225,"51,56%",153,139,"41,01%",397,364,"47,53%"
29,ESCOLA DE CONDUÇÃO AUTO ÁGUIA,276,230,"67,83%",246,198,"60,61%",522,428,"64,49%"
30,ESCOLA DE CONDUÇÃO TÉCNICA AUTOMÓVEL SILVINO,241,198,"48,99%",167,146,"50,00%",408,344,"49,42%"
31,ESCOLA DE CONDUÇÃO A PORTUGUESA,378,342,"76,02%",285,264,"78,03%",663,606,"76,90%"
32,ESCOLA DE CONDUÇÃO IDAL,564,522,"69,54%",597,526,"68,63%",1 161,1 048,"69,08%"
34,ESCOLA DE CONDUÇÃO DESTAQUE,309,278,"52,16%",183,170,"79,41%",492,448,"62,50%"
35,ESCOLA DE CONDUÇÃO NEUROPA,533,466,"71,67%",436,389,"73,52%",969,855,"72,51%"
36,ESCOLA DE CONDUÇÃO PINCOR,139,112,"77,68%",160,112,"52,68%",299,224,"65,18%"
38,ESCOLA DE CONDUÇÃO CAMPOLIDE,227,201,"52,74%",152,132,"53,79%",379,333,"53,15%"
39,ESCOLA DE CONDUÇÃO TORREJANA,116,103,"76,70%",127,119,"72,27%",243,222,"74,32%"
40,ESCOLA DE CONDUÇÃO AUTOMÓVEL LISBONENSE,321,282,"70,21%",372,344,"74,42%",693,626,"72,52%"
41,ESCOLA DE CONDUÇÃO TELHEIRAS,141,131,"67,94%",164,158,"58,23%",305,289,"62,63%"
42,ESCOLA DE CONDUÇÃO CARVALHIDO,294,262,"61,45%",278,229,"48,91%",572,491,"55,60%"
44,ESCOLA DE CONDUÇÃO SALDANHA,606,536,"68,28%",544,484,"54,13%",1 150,1 020,"61,57%"
45,ESCOLA DE CONDUÇÃO GONÇALVES E DELGADO,166,145,"58,62%",173,166,"48,19%",339,311,"53,05%"
47,ESCOLA DE CONDUÇÃO MODERNA DE TOMAR,304,280,"69,29%",257,229,"77,29%",561,509,"72,89%"
48,ESCOLA DE CONDUÇÃO  SINTRA,334,305,"59,67%",326,299,"63,21%",660,604,"61,42%"
49,ESCOLA DE CONDUÇÃO BOAVISTA,617,549,"75,96%",542,502,"45,02%",1 159,1 051,"61,18%"
52,ESCOLA DE CONDUÇÃO INVICTA,314,287,"70,73%",358,267,"47,19%",672,554,"59,39%"
53,ESCOLA DE CONDUÇÃO S MAMEDE,244,201,"64,68%",154,127,"58,27%",398,328,"62,20%"
55,ESCOLA DE CONDUÇÃO RADICAL,1 116,1 010,"75,15%",1490,1394,"72,09%",2 606,2 404,"73,38%"
56,ESCOLA DE CONDUÇÃO VILA FRANCA,680,601,"57,07%",410,372,"59,41%",1 090,973,"57,97%"
57,ESCOLA DE CONDUÇÃO FRANÇA,625,477,"78,83%",591,458,"62,88%",1 216,935,"71,02%"
58,ESCOLA DE CONDUÇÃO PORTUENSE,150,126,"60,32%",212,162,"37,65%",362,288,"47,57%"
