A,6975,6794,"93,48%"
A1,5191,5073,"84,68%"
A2,3758,3666,"90,92%"
AM,39,36,"88,89%"
B,157475,154297,"66,18%"
B1,445,435,"83,68%"
BE,63,62,"91,94%"
C,5037,4898,"87,75%"
CE,4054,3918,"84,48%"
D,1189,1160,"87,33%"
D1,5,5,"100,00%"
G3,1148,1097,"95,72%"
Total Geral,185379,181441,"69,57%"
