A,7532,7336,"93,12%"
A1,5285,5160,"85,97%"
A2,3512,3392,"92,42%"
AM,26,24,"100,00%"
B,161999,159222,"66,04%"
B1,514,498,"84,54%"
BE,116,112,"95,54%"
C,5545,5401,"88,52%"
CE,4708,4562,"84,48%"
D,1396,1342,"87,18%"
D1,10,9,"100,00%"
G3,1408,1352,"95,56%"
Total Geral,192051,188410,"69,64%"
