1,Escola De Condução Automovel Club De Portugal,314,302,"80,13%",363,359,"66,02%",677,661,"72,47%"
2,Escola De Condução Acp,241,234,"77,78%",269,269,"71,38%",510,503,"74,35%"
5,Escola De Condução «A Popular»,42,40,"75,00%",55,54,"72,22%",97,94,"73,40%"
6,Escola De Condução Automoveis Monumental,126,123,"83,74%",139,138,"68,84%",265,261,"75,86%"
7,Escola De Condução A Desportiva (Boavista),217,209,"71,77%",193,192,"68,75%",410,401,"70,32%"
8,Escola De Condução Vitória,184,170,"58,82%",199,193,"54,92%",383,363,"56,75%"
9,Escola De Condução Enal,19,19,"31,58%",14,14,"71,43%",33,33,"48,48%"
10,Escola De Condução Lusitânia De Automobilsmo,124,123,"94,31%",174,172,"68,60%",298,295,"79,32%"
11,Escola De Condução Rodaqui,70,67,"53,73%",86,85,"65,88%",156,152,"60,53%"
12,Escola De Condução Bastos,136,128,"66,41%",147,143,"58,04%",283,271,"61,99%"
13,Escola De Condução Morarte,144,134,"79,85%",216,214,"56,54%",360,348,"65,52%"
14,Escola De Condução Carsil,164,160,"89,38%",232,228,"73,25%",396,388,"79,90%"
15,Escola De Condução Estrela Torriense,153,148,"64,19%",161,161,"79,50%",314,309,"72,17%"
16,Escola De Condução Moderna,1860,1796,"74,89%",1438,1423,"60,51%",3298,3219,"68,53%"
17,Escola De Condução Hugo Vieira (Porto),409,393,"83,46%",538,535,"73,08%",947,928,"77,48%"
19,Escola De Condução E P Campos,142,135,"74,81%",160,157,"62,42%",302,292,"68,15%"
20,Escola De Condução Ouriense,239,237,"78,48%",320,318,"77,36%",559,555,"77,84%"
21,Escola De Condução São Cristóvão,353,333,"72,97%",422,412,"67,48%",775,745,"69,93%"
22,Escola De Condução M M Ouressa,131,127,"64,57%",133,127,"74,02%",264,254,"69,29%"
23,Escola De Condução Ribatejana,57,54,"57,41%",53,53,"62,26%",110,107,"59,81%"
24,Escola De Condução Dokas,842,815,"76,32%",956,942,"78,34%",1798,1757,"77,40%"
25,Escola De Condução M Silva,128,126,"70,63%",150,147,"78,91%",278,273,"75,09%"
27,Escola De Condução Alkântara,51,51,"72,55%",47,47,"82,98%",98,98,"77,55%"
28,Escola De Condução De Benfica,30,27,"70,37%",48,48,"50,00%",78,75,"57,33%"
29,Escola De Condução Auto Águia,209,194,"64,95%",179,174,"66,09%",388,368,"65,49%"
30,Escola De Condução Técnica Automóvel Silvino,51,43,"48,84%",47,47,"65,96%",98,90,"57,78%"
31,Escola De Condução A Portuguesa,212,197,"75,63%",204,201,"72,64%",416,398,"74,12%"
32,Escola De Condução Idal,365,350,"80,29%",388,384,"67,45%",753,734,"73,57%"
33,Escola De Condução A Império,22,21,"66,67%",32,30,"60,00%",54,51,"62,75%"
34,Escola De Condução Destaque,120,119,"76,47%",161,159,"72,96%",281,278,"74,46%"
35,Escola De Condução Neuropa,193,182,"74,18%",189,187,"66,84%",382,369,"70,46%"
36,Escola De Condução Pincor,126,115,"69,57%",112,109,"71,56%",238,224,"70,54%"
38,Escola De Condução Campolide,37,36,"80,56%",10,10,"50,00%",47,46,"73,91%"
39,Escola De Condução Torrejana,149,144,"65,28%",148,146,"81,51%",297,290,"73,45%"
40,Escola De Condução Automóvel Lisbonense,285,277,"76,17%",270,263,"74,90%",555,540,"75,56%"
41,Escola De Condução Telheiras,169,154,"76,62%",192,187,"62,57%",361,341,"68,91%"
42,Escola De Condução Carvalhido,167,159,"70,44%",177,172,"55,81%",344,331,"62,84%"
44,Escola De Condução Saldanha,732,703,"66,71%",848,843,"54,69%",1580,1546,"60,16%"
45,Escola De Condução Gonçalves E Delgado,96,92,"68,48%",97,96,"78,13%",193,188,"73,40%"
47,Escola De Condução Moderna De Tomar,173,165,"69,09%",179,178,"71,35%",352,343,"70,26%"
48,Escola De Condução  Sintra,329,328,"68,29%",157,157,"89,17%",486,485,"75,05%"
49,Escola De Condução Boavista,356,351,"83,76%",541,535,"53,83%",897,886,"65,69%"
52,Escola De Condução Invicta,369,353,"71,95%",361,361,"57,34%",730,714,"64,57%"
53,Escola De Condução S Mamede,71,67,"85,07%",68,66,"74,24%",139,133,"79,70%"
55,Escola De Condução Radical,1036,1013,"73,35%",1139,1128,"74,91%",2175,2141,"74,17%"
56,Escola De Condução Vila Franca,450,442,"68,10%",314,305,"74,10%",764,747,"70,55%"
57,Escola De Condução França,282,273,"76,56%",298,292,"70,55%",580,565,"73,45%"
58,Escola De Condução Portuense,191,180,"74,44%",203,202,"50,99%",394,382,"62,04%"
59,Escola De Condução Ecir,190,184,"70,11%",165,163,"79,14%",355,347,"74,35%"
60,Escola De Condução Vimaranense,139,138,"71,74%",135,132,"61,36%",274,270,"66,67%"
61,Escola De Condução Central Do Sameiro,359,344,"74,71%",410,403,"69,98%",769,747,"72,16%"
62,Escola De Condução Ribeiro,168,162,"73,46%",181,179,"67,60%",349,341,"70,38%"
64,Escola De Condução Albertino,284,271,"82,66%",281,274,"63,87%",565,545,"73,21%"
67,Escola De Condução Águeda,140,139,"66,91%",182,172,"70,93%",322,311,"69,13%"
