ACP - LISBOA,5389,5239,"70,01%",5264,5135,"73,69%",10653,10374,"71,83%"
ACP - PORTO,14412,14009,"74,13%",16977,16780,"62,41%",31389,30789,"67,74%"
AHBVT - Fundão,1332,1312,"74,16%",1877,1855,"55,58%",3209,3167,"63,28%"
AHBVT - Mirandela,2225,2185,"68,79%",2385,2302,"67,46%",4610,4487,"68,11%"
AHBVT - Portimão,4532,4365,"65,34%",4999,4935,"60,51%",9531,9300,"62,77%"
AHBVT - Tábua,4759,4621,"72,06%",4809,4705,"70,86%",9568,9326,"71,46%"
ANIECA _Albergaria a Velha,9591,9282,"69,31%",10814,10348,"67,48%",20405,19630,"68,34%"
ANIECA_Barreiro,9141,8891,"67,81%",9194,9071,"66,89%",18335,17962,"67,35%"
ANIECA_Linda a Velha,12027,11645,"67,26%",10984,10828,"68,79%",23011,22473,"68,00%"
ANIECA_Penafiel,8121,7943,"71,69%",10488,10357,"58,79%",18609,18300,"64,39%"
ANIECA_Porto de Mós,7864,7621,"69,30%",8892,8773,"65,02%",16756,16394,"67,01%"
ANIECA_Vila Verde,5649,5529,"72,02%",6633,6535,"63,72%",12282,12064,"67,52%"
APEC - Lisboa,22719,21841,"67,93%",23131,22889,"59,98%",45850,44730,"63,86%"
IMT Aveiro,3203,3038,"72,91%",3296,3272,"67,67%",6499,6310,"70,19%"
IMT Beja,1795,1752,"65,64%",1903,1857,"69,95%",3698,3609,"67,86%"
IMT Braga,7969,7648,"71,63%",8332,8247,"81,23%",16301,15895,"76,61%"
IMT Bragança,548,525,"64,95%",789,763,"61,99%",1337,1288,"63,20%"
IMT Castelo Branco,899,838,"75,30%",1469,1408,"51,35%",2368,2246,"60,28%"
IMT Coimbra,2556,2442,"75,23%",3127,3065,"67,83%",5683,5507,"71,11%"
IMT Évora,1455,1423,"72,38%",1725,1691,"71,32%",3180,3114,"71,80%"
IMT Faro,1946,1746,"62,43%",1920,1888,"60,54%",3866,3634,"61,45%"
IMT Guarda,820,792,"70,33%",1150,1120,"52,50%",1970,1912,"59,88%"
IMT Leiria,1036,1014,"71,20%",1238,1229,"77,87%",2274,2243,"74,86%"
IMT Lisboa,1088,982,"69,35%",1031,1000,"75,70%",2119,1982,"72,55%"
IMT Lisboa - Sobral de Monte Agraço,711,685,"72,55%",630,627,"86,76%",1341,1312,"79,34%"
IMT Portalegre,1396,1374,"64,19%",1249,1193,"81,89%",2645,2567,"72,42%"
IMT Porto,5434,5121,"70,81%",4509,4426,"70,38%",9943,9547,"70,61%"
IMT Santarém,2811,2672,"68,38%",2770,2731,"72,39%",5581,5403,"70,41%"
IMT Setúbal,2453,2343,"65,13%",2240,2213,"70,90%",4693,4556,"67,93%"
IMT Viana do Castelo,3370,3274,"70,01%",3053,3010,"84,25%",6423,6284,"76,83%"
IMT Vila Real,1544,1466,"71,62%",1725,1668,"66,31%",3269,3134,"68,79%"
IMT Vila Real-Chaves,767,749,"69,69%",826,788,"71,70%",1593,1537,"70,72%"
IMT Viseu,1721,1667,"73,85%",2570,2513,"50,54%",4291,4180,"59,83%"
Total Geral,151283,146034,"69,84%",161999,159222,"66,04%",313282,305256,"67,85%"
