Unnamed: 0,Provas Teóricas,Provas Práticas,Total,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Centro de Exames,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação,Provas Marcadas,Provas Realizadas,% Aprovação
ACP_LISBOA,9117,8449,"68,75%",8124,7703,"69,39%",17241,16152,"69,06%"
ACP_PORTO,12958,12122,"74,52%",16331,15456,"56,30%",29289,27578,"64,31%"
AHBVT_FUNDÃO,12909,11886,"68,56%",12403,11627,"62,45%",25312,23513,"65,54%"
AHBVT_MIRANDELA,24075,22048,"67,63%",21240,20173,"58,11%",45315,42221,"63,08%"
AHBVT_PORTIMÃO,718,523,"60,04%",652,559,"61,72%",1370,1082,"60,91%"
AHBVT_TÁBUA,927,841,"68,73%",652,568,"83,80%",1579,1409,"74,80%"
ANIECA_ALBERGARIA-A-VELHA,732,671,"71,09%",611,559,"74,60%",1343,1230,"72,68%"
ANIECA_BARREIRO,8834,8269,"67,75%",9647,8831,"64,66%",18481,17100,"66,15%"
ANIECA_BRAGA,2047,1942,"71,52%",2276,2181,"63,04%",4323,4123,"67,04%"
ANIECA_LINDA-A-VELHA,8314,7895,"71,69%",9199,8731,"60,44%",17513,16626,"65,78%"
ANIECA_PENAFIEL,5857,5208,"64,11%",5781,5278,"55,67%",11638,10486,"59,86%"
ANIECA_PORTO DE MÓS,7672,7248,"68,83%",8238,7754,"62,55%",15910,15002,"65,58%"
APEC_LISBOA,5087,4759,"72,81%",5624,5350,"66,56%",10711,10109,"69,50%"
IMT_Aveiro,9990,9412,"74,10%",8974,8564,"67,63%",18964,17976,"71,02%"
IMT_Beja,12843,11954,"68,34%",10966,10451,"68,20%",23809,22405,"68,27%"
IMT_Braga,1737,1607,"76,91%",2297,2068,"55,03%",4034,3675,"64,60%"
IMT_Bragança,735,697,"74,32%",841,827,"60,10%",1576,1524,"66,60%"
IMT_Castelo Branco,3228,3051,"69,71%",2652,2596,"68,10%",5880,5647,"68,97%"
IMT_Coimbra,1561,1509,"64,21%",1157,1104,"76,45%",2718,2613,"69,38%"
IMT_Évora,3439,2880,"71,42%",3676,2975,"81,71%",7115,5855,"76,65%"
IMT_Faro,566,523,"73,80%",694,598,"63,38%",1260,1121,"68,24%"
IMT_Guarda,648,562,"75,44%",810,775,"57,81%",1458,1337,"65,22%"
IMT_Leiria,1017,953,"77,23%",999,954,"76,62%",2016,1907,"76,93%"
IMT_Lisboa,1314,1247,"65,28%",883,852,"80,75%",2197,2099,"71,56%"
IMT_Lisboa_SMA,690,627,"65,23%",462,422,"82,23%",1152,1049,"72,07%"
IMT_Portalegre,1680,1470,"62,72%",971,945,"74,92%",2651,2415,"67,49%"
IMT_Porto,3016,2736,"75,62%",2471,2153,"86,90%",5487,4889,"80,59%"
IMT_Santarem,1743,1633,"74,71%",1439,1368,"73,32%",3182,3001,"74,08%"
IMT_Setubal,1714,1538,"72,24%",1906,1765,"57,00%",3620,3303,"64,09%"
IMT_Viana do Castelo,2219,2044,"74,90%",2241,1989,"62,59%",4460,4033,"68,83%"
IMT_Vila Real,1571,1383,"68,98%",1076,1004,"78,88%",2647,2387,"73,15%"
IMT_Vila Real_Chaves,1054,1018,"61,59%",1203,1054,"49,34%",2257,2072,"55,36%"
IMT_Viseu,4739,4071,"75,24%",5529,4602,"55,71%",10268,8673,"64,88%"
Total Geral,154751,142776,"0,700614949",152025,141836,"63,37%",306776,284612,"66,73%"
